ModelName,Reference
Yi-34B-Chat Yi-6B-Chat Tülu 2 7B Tülu 2 13B Google Gemma 2 27B it Google Gemma 2 9B it GPT-4o MPT 30B Chat,"(Young et al., 2024) (Young et al., 2024) (Ivison et al., 2023) (Ivison et al., 2023)"
,"(Gemma Team et al., 2024b)"
,"(Gemma Team et al., 2024b)"
,"(Hurst et al., 2024)"
,"(MosaicML NLP Team, 2023)"
MPT 7B 8k Chat,"(MosaicML NLP Team, 2023)"
Mistral 7B Instruct v0.2,"(Jiang et al., 2023)"
Mistral Nemo Instruct 2407,"(Mistral AI, 2024)"
Qwen2.5 32B Instruct,"(Qwen et al., 2024)"
Qwen2.5 14B Instruct,"(Qwen et al., 2024)"
Qwen 2.5 7B Instruct,"(Qwen et al., 2024)"
Falcon 7B,"(Almazrouei et al., 2023)"
SmolLM2 1.7B Instruct,"(Allal et al., 2024b)"
Phi 3 Mini 128k Instruct,"(Abdin et al., 2024a)"
Phi 3.5 Mini Instruct,"(Abdin et al., 2024a)"
NuExtract-1.5,"(Numind, 2024)"
